lifespan,genetic,mass,exercise,smoking,alcohol,sugar
61.8,65.2,97.9,3.6,13.1,3.9,29.2
92.0,92.8,114.8,3.8,4.7,0.5,23.2
77.7,76.1,73.1,2.4,0.4,0.5,12.8
71.6,72.3,128.0,1.7,0.1,4.9,20.0
75.2,80.0,75.2,1.9,19.6,0.8,26.4
78.8,79.0,67.4,4.3,9.3,3.6,9.2
74.8,81.2,137.6,1.5,18.2,0.5,25.6
73.3,77.3,100.5,0.3,10.3,0.5,25.2
68.5,70.2,95.9,3.9,7.7,5.2,7.6
81.6,83.4,71.2,2.5,16.2,0.2,30.0
82.1,82.7,100.0,1.7,2.6,4.2,32.0
80.1,80.7,93.5,4.0,10.2,0.3,8.0
81.6,80.0,88.5,3.8,0.9,3.8,10.8
79.1,81.4,71.8,1.6,11.6,0.4,33.6
76.8,77.6,107.2,2.3,3.9,2.8,20.4
86.7,90.5,87.7,4.1,20.0,0.9,20.4
76.1,78.3,73.4,3.2,21.6,1.1,8.0
68.0,69.3,107.0,1.6,4.4,0.6,30.4
83.0,89.8,102.2,1.1,16.0,4.6,14.4
75.5,78.9,60.4,1.0,18.4,2.3,27.2
83.0,87.1,89.2,0.6,9.8,1.1,20.0
89.1,88.4,108.6,1.6,0.1,0.4,9.2
71.4,71.5,73.6,1.8,7.4,1.1,15.2
81.3,83.0,145.8,2.8,0.1,4.5,20.8
85.6,88.5,121.9,2.7,14.5,0.6,15.6
74.0,79.5,67.0,1.7,20.4,4.8,36.4
84.3,86.6,105.1,0.6,13.4,1.0,48.4
84.1,85.3,75.0,1.9,10.1,0.7,28.0
92.1,94.3,106.2,2.0,10.6,0.7,5.6
83.0,84.5,124.8,1.3,0.3,6.0,14.4
69.8,70.2,73.2,1.3,0.9,5.7,28.0
87.3,86.6,133.7,4.0,1.8,0.5,33.6
64.3,65.3,62.7,2.4,0.8,5.1,22.4
81.1,87.9,91.7,0.6,21.0,1.0,52.4
90.8,95.7,111.6,1.3,18.4,3.4,18.4
77.7,75.7,83.9,2.9,0.0,3.3,15.2
83.7,82.7,62.2,5.2,8.2,1.8,7.2
86.2,87.7,87.1,4.0,5.4,5.3,13.6
76.8,81.9,98.3,2.1,20.2,5.3,14.0
91.3,91.8,127.1,3.5,10.8,0.4,20.0
98.2,99.7,99.0,1.7,10.1,0.5,32.0
79.1,85.4,109.9,1.2,18.2,0.5,20.8
76.9,78.4,53.6,1.1,4.7,3.1,24.8
86.5,88.3,141.2,0.5,0.6,0.7,25.6
70.3,68.2,63.4,4.3,3.1,1.4,27.2
77.5,82.8,122.2,2.1,21.3,1.8,32.0
82.2,90.2,127.8,2.4,18.9,0.2,25.6
78.5,78.0,81.4,2.0,1.6,0.8,12.8
90.1,91.0,124.3,0.8,0.3,4.1,20.0
77.1,80.5,54.6,1.6,10.3,4.8,25.6
82.2,82.0,84.2,2.8,4.3,1.9,20.0
83.5,83.6,58.2,5.3,4.7,1.8,28.4
73.3,78.5,84.6,3.7,20.4,1.4,24.8
70.6,71.2,115.8,1.8,0.1,2.1,33.6
79.6,84.7,52.3,1.6,18.5,2.6,33.2
78.2,80.8,133.6,2.4,19.7,3.0,14.8
63.4,67.4,67.6,4.2,18.7,0.3,22.0
82.1,83.1,99.7,0.9,0.4,3.8,18.0
80.8,83.1,86.7,1.6,6.0,5.0,39.2
69.8,75.1,106.8,3.4,19.3,5.9,39.2
85.3,85.8,94.4,4.2,15.2,0.7,13.6
69.8,74.8,65.9,1.5,17.9,0.8,22.8
70.5,70.8,68.8,2.6,0.4,3.5,36.4
82.8,85.0,52.4,0.8,5.4,2.2,28.4
71.7,74.7,90.9,0.1,4.1,4.3,32.0
76.9,76.7,83.2,2.4,4.8,0.5,22.4
84.3,85.6,97.5,1.8,6.3,2.9,22.0
77.5,81.9,85.3,2.1,18.8,1.3,21.6
82.3,83.3,75.0,1.6,4.0,0.3,37.2
83.1,89.6,147.3,3.0,21.8,1.8,37.6
85.3,86.3,111.5,5.0,14.6,1.1,18.8
74.9,80.8,128.7,5.2,21.0,0.7,22.0
79.9,79.5,131.4,3.4,8.2,0.4,29.6
72.0,78.8,99.7,0.8,17.5,5.2,20.8
94.6,95.9,110.2,2.2,7.3,0.4,34.4
74.9,76.6,119.4,3.7,12.8,0.5,35.2
102.6,101.9,105.0,4.6,7.9,4.4,20.4
84.1,88.6,93.6,1.4,13.5,0.4,40.0
90.3,91.5,123.1,1.1,4.4,0.4,25.2
97.1,96.1,72.9,1.6,0.3,0.6,48.4
80.9,80.8,70.4,1.5,0.2,0.4,38.4
79.4,86.6,133.7,1.2,13.5,5.0,38.4
60.0,64.1,105.9,2.3,14.6,4.7,44.0
85.5,85.9,89.7,1.2,0.3,0.2,38.0
81.9,84.9,67.9,1.7,9.7,4.4,37.6
80.7,80.7,63.5,0.8,0.6,0.3,26.4
67.2,66.9,92.7,2.3,2.2,0.5,12.4
85.3,85.6,53.9,1.8,7.8,1.2,14.8
83.1,83.6,74.3,0.8,1.5,3.0,31.6
82.7,83.7,68.8,1.9,1.5,5.0,38.4
72.2,75.7,102.0,2.0,6.5,1.3,36.0
83.2,84.9,84.6,2.4,10.7,4.2,36.4
74.6,77.6,85.0,2.1,10.2,2.2,22.4
78.9,84.0,89.9,1.7,13.9,1.3,18.8
65.7,69.2,125.8,2.1,10.4,0.1,16.4
70.9,73.6,125.3,0.6,5.0,3.9,40.4
78.7,82.8,95.3,0.5,11.2,3.9,37.6
72.7,77.6,82.7,1.2,15.9,1.6,16.4
72.8,67.9,76.1,4.4,0.1,0.5,10.4
85.4,87.6,104.2,3.4,13.3,3.7,22.0
90.5,91.9,109.8,1.3,5.6,4.0,36.0
74.9,80.2,144.1,2.1,8.6,5.2,38.0
80.2,80.8,90.3,2.5,10.4,1.0,34.4
75.2,77.7,73.9,2.5,9.7,3.3,38.8
75.0,80.6,74.5,1.5,21.1,2.4,37.6
71.0,73.9,62.4,1.3,11.9,5.2,31.2
73.7,75.7,117.3,2.2,7.1,1.3,16.4
78.7,79.9,92.9,2.7,9.5,0.4,20.8
75.9,78.4,107.6,1.7,7.6,1.9,21.2
81.4,82.9,126.6,1.9,4.5,1.2,23.2
76.2,78.2,60.6,1.9,8.1,2.1,11.6
93.7,93.7,106.5,2.9,6.8,0.1,26.8
88.1,88.2,94.8,1.0,0.1,2.3,18.4
60.8,64.8,121.3,3.3,19.9,3.5,7.2
70.2,72.7,66.7,2.1,17.1,1.2,32.0
83.7,83.7,115.1,2.3,3.2,0.6,14.8
81.5,83.3,94.9,0.6,5.8,0.7,24.4
73.0,78.1,86.1,2.5,21.5,1.4,26.4
70.3,74.8,92.5,3.8,15.6,5.6,31.2
97.2,98.4,54.9,1.2,0.3,4.4,26.8
88.4,92.4,116.1,3.7,20.6,2.1,31.2
82.9,83.9,70.3,0.7,0.7,2.6,35.2
71.4,70.9,84.6,1.9,1.0,4.1,8.4
74.8,74.6,102.3,3.5,2.4,2.7,37.2
79.0,78.4,130.8,1.8,0.2,0.5,20.0
86.0,85.6,94.8,2.4,0.3,0.9,29.2
94.9,94.2,66.1,1.8,1.0,0.6,34.8
62.9,64.3,109.5,0.6,6.9,0.7,4.8
69.5,75.7,77.5,2.0,20.9,4.5,40.4
92.9,93.5,77.3,2.3,1.5,5.9,18.4
77.1,84.2,161.7,1.1,16.6,0.7,18.4
72.8,73.1,66.3,4.4,13.0,0.3,48.0
76.5,81.3,121.0,3.1,13.8,4.7,34.8
68.3,72.3,87.8,2.5,21.0,4.8,40.8
94.1,95.9,88.4,1.8,9.7,0.3,35.6
75.3,80.0,115.7,2.2,19.9,1.7,21.6
71.2,74.0,101.8,1.8,12.7,0.2,44.0
83.4,83.3,65.4,1.0,1.1,1.2,7.6
84.6,88.4,78.3,1.3,16.2,1.3,26.0
68.1,72.0,107.7,2.1,15.6,5.1,20.4
76.1,77.9,65.4,2.8,6.3,5.7,31.2
75.1,75.8,91.8,0.4,0.6,1.0,21.2
86.1,86.2,85.5,3.0,0.1,5.1,39.2
86.6,85.8,73.0,1.4,0.2,1.0,24.4
72.9,75.7,122.3,3.3,11.9,4.3,28.8
83.1,82.8,90.7,2.0,0.3,4.3,14.4
88.4,87.1,69.4,2.9,2.1,2.0,14.4
89.7,89.1,89.3,3.1,5.2,1.0,21.2
79.7,82.2,120.2,2.6,12.8,0.2,24.4
76.1,77.5,95.8,1.6,5.6,2.1,32.0
91.1,92.5,62.8,1.1,4.0,1.1,36.8
90.8,91.4,59.8,1.5,0.2,5.7,16.0
83.5,84.6,85.1,2.0,7.4,2.0,21.6
72.9,76.3,61.9,1.8,13.3,2.6,18.0
74.9,80.4,124.6,0.1,14.4,4.9,14.4
77.9,78.7,125.5,3.1,7.2,4.3,27.6
79.1,82.2,116.9,2.1,14.0,4.6,23.2
78.7,82.5,99.3,2.2,18.1,0.3,27.6
71.0,69.7,95.5,3.1,3.4,0.1,19.6
64.0,66.4,58.3,3.7,20.7,5.5,23.6
81.2,80.4,83.3,3.2,4.5,0.1,21.6
73.7,73.7,113.9,1.2,0.9,0.2,10.8
83.2,84.1,52.5,3.6,16.4,2.1,14.8
83.9,84.2,97.8,1.3,2.6,0.4,46.4
79.5,82.5,88.5,0.2,12.6,1.1,29.6
79.5,86.5,84.5,1.8,19.6,3.4,52.4
74.1,75.6,71.6,2.4,18.6,3.5,16.8
92.7,90.0,87.3,3.6,0.5,0.8,30.0
84.8,82.4,158.5,5.3,0.1,0.7,28.0
73.7,80.7,110.2,2.4,15.5,4.9,46.8
87.6,91.4,70.2,1.9,17.2,1.2,24.0
81.4,83.1,106.8,3.8,10.5,5.3,47.2
90.2,91.9,86.6,1.7,6.2,0.3,41.2
88.8,86.4,87.8,4.5,0.0,0.3,49.6
78.6,86.0,103.6,1.3,16.4,0.9,32.0
80.8,82.5,145.1,1.5,0.3,0.6,40.8
88.3,87.0,94.8,2.8,0.9,0.7,23.6
84.1,87.2,56.1,0.9,15.3,3.3,32.0
82.3,83.7,120.7,2.6,9.6,1.5,43.6
78.2,83.2,98.0,2.7,18.1,5.8,8.4
70.2,70.9,70.6,2.5,8.6,0.4,15.2
96.6,95.4,62.5,2.1,0.4,0.8,35.2
86.9,86.7,139.0,3.7,0.4,2.3,32.0
79.0,85.1,118.5,1.9,13.9,3.0,22.8
80.0,80.6,90.5,1.9,0.9,3.6,9.2
81.3,84.5,70.4,2.8,14.5,0.4,18.4
78.8,77.7,88.6,4.0,0.6,4.4,21.2
78.2,79.0,58.7,4.5,21.7,2.3,32.8
71.1,76.0,71.2,0.3,18.0,3.9,18.8
81.0,81.9,81.5,1.8,4.9,3.3,11.2
72.4,74.6,101.4,3.6,11.6,5.1,22.8
80.8,82.2,99.9,2.9,20.4,0.4,14.8
74.5,81.5,121.2,1.6,19.8,1.5,25.6
77.0,84.2,160.9,1.3,0.0,2.7,24.4
63.8,64.1,91.1,2.8,11.8,0.6,22.4
81.3,82.2,65.2,5.0,12.4,3.4,8.4
76.9,77.6,103.8,3.0,0.1,4.6,20.0
77.3,77.7,65.6,0.4,0.4,1.5,26.8
78.9,82.3,102.6,1.7,10.7,0.4,32.8
81.8,88.4,75.7,2.2,18.8,4.4,24.0
79.3,83.1,105.5,1.2,16.9,1.6,19.6
97.1,100.6,92.5,1.0,12.9,0.4,41.6
79.4,79.3,71.3,3.0,9.8,2.7,26.4
89.2,89.9,107.6,2.1,6.3,0.4,44.8
71.1,72.6,78.1,2.9,16.2,0.9,26.4
71.8,75.2,72.3,2.3,15.3,3.5,22.8
78.9,81.3,59.9,2.0,13.6,0.9,22.4
84.4,81.4,113.6,4.7,7.2,1.6,20.0
75.7,78.0,121.9,0.8,4.3,0.7,22.4
82.6,79.9,50.0,3.1,0.6,0.6,11.6
79.5,81.9,116.9,2.7,13.5,0.2,51.6
73.6,76.6,108.7,4.6,13.7,0.2,34.4
94.1,95.1,53.2,1.0,4.6,0.5,28.0
86.7,89.6,112.4,3.1,10.4,1.8,6.4
81.3,85.3,113.5,2.3,13.5,4.4,36.8
73.8,77.9,117.6,1.9,13.3,5.5,49.6
89.2,94.7,79.0,0.2,14.1,1.7,46.8
76.4,80.6,62.3,1.4,20.0,0.5,22.8
66.1,67.6,64.5,3.2,12.2,1.3,28.8
88.4,88.7,112.9,3.8,8.9,0.5,11.6
82.8,86.0,104.0,2.1,19.7,0.5,40.8
79.1,83.1,128.7,2.7,15.9,0.2,29.2
67.7,70.7,85.1,1.7,11.9,3.7,39.6
79.6,83.4,82.1,2.7,18.2,1.6,19.2
81.2,80.6,85.9,2.1,5.9,0.9,28.0
74.2,75.0,80.1,0.1,0.7,1.3,25.6
74.1,78.6,95.7,1.8,22.0,0.6,14.8
82.6,84.3,123.7,2.3,0.3,1.4,18.4
79.1,77.4,62.3,3.0,1.2,0.4,35.6
76.5,83.6,72.7,2.2,20.4,0.3,21.6
80.3,80.9,112.9,2.0,4.8,0.9,18.8
88.1,86.0,78.5,4.7,4.3,4.9,35.6
90.5,89.3,77.9,4.4,8.8,0.7,19.2
75.5,77.3,122.8,2.1,8.6,0.2,42.8
78.2,77.4,126.8,4.5,2.4,4.0,22.8
82.0,82.7,115.7,1.6,2.3,2.9,14.0
83.4,83.8,134.3,1.6,3.3,0.4,16.0
84.6,83.9,53.1,2.9,2.0,1.6,14.8
72.9,70.7,115.8,5.4,5.7,3.6,10.8
82.4,80.1,64.2,3.2,0.4,5.1,25.2
85.0,85.2,67.4,3.6,6.9,5.6,20.8
77.9,80.4,69.7,2.9,21.2,1.0,14.4
77.0,80.3,132.4,1.8,5.1,1.6,16.8
78.5,87.6,65.4,2.3,21.8,2.0,37.6
83.4,87.7,79.8,1.9,17.2,1.2,28.4
86.5,86.3,63.1,2.1,0.8,4.8,22.0
82.4,85.1,111.3,1.8,11.1,2.3,12.0
88.0,90.3,142.6,1.5,0.3,1.8,18.8
78.0,83.7,116.8,2.4,21.3,1.3,41.6
63.3,64.2,51.7,2.6,6.9,2.0,20.4
69.8,73.8,162.4,2.2,4.6,2.5,20.4
73.2,77.9,135.9,1.5,17.7,2.2,25.6
84.0,83.6,122.5,3.4,8.5,0.4,16.0
65.1,71.0,108.2,5.1,20.7,4.5,43.6
96.3,97.9,113.4,1.2,3.8,0.5,18.4
67.6,67.3,135.3,5.3,0.1,5.3,43.6
81.4,82.0,59.8,2.6,2.6,5.3,38.8
65.6,68.9,85.3,2.4,17.3,1.3,16.4
73.0,77.1,72.1,1.7,18.2,1.3,31.2
82.0,84.1,120.9,5.3,10.8,4.7,25.6
71.8,77.2,120.9,1.3,13.2,2.0,47.2
84.8,87.9,82.6,1.0,13.0,0.4,40.0
70.7,74.9,59.8,1.1,14.3,1.4,18.4
78.4,77.4,80.0,3.0,7.2,5.5,25.2
83.4,82.8,71.4,3.0,0.5,0.8,45.6
77.6,80.5,70.8,2.8,15.5,1.9,24.4
67.5,72.6,60.8,1.4,20.9,5.7,9.2
81.9,83.0,110.3,1.7,0.0,4.9,37.2
75.6,76.1,72.0,1.0,1.8,1.6,28.4
68.4,72.3,114.4,2.8,17.2,3.4,11.2
76.5,78.0,86.5,0.4,2.6,4.6,28.0
85.8,91.7,92.8,3.0,18.4,4.4,41.6
94.6,97.9,84.0,1.6,19.1,0.4,24.8
90.7,89.8,67.3,3.5,9.8,0.6,30.0
81.6,83.0,73.9,3.5,10.4,0.6,35.2
88.1,87.2,68.4,1.7,0.3,1.5,8.8
82.5,83.8,135.8,1.7,1.4,0.4,26.0
72.1,75.1,142.5,3.3,11.0,0.3,18.0
88.4,86.0,72.1,3.2,0.2,4.8,3.2
88.3,89.3,80.9,1.8,5.6,1.3,19.2
71.0,74.1,83.3,1.9,20.2,0.9,15.6
81.1,81.9,81.1,1.4,1.0,5.9,37.6
73.4,76.9,83.1,3.1,17.7,0.3,52.8
87.0,85.8,74.8,5.1,4.1,4.2,11.2
79.1,83.0,54.7,4.5,18.4,1.3,31.6
89.3,91.6,68.9,4.0,13.7,0.8,34.4
84.8,86.5,110.8,0.7,4.1,0.5,20.0
76.8,78.4,56.2,1.8,10.1,0.3,36.8
70.6,75.1,124.4,1.0,11.1,1.6,24.8
79.8,79.1,86.7,2.4,3.3,2.0,16.4
73.2,79.5,144.6,2.4,4.3,5.2,36.0
93.3,96.0,143.1,1.4,10.0,0.9,24.4
97.5,95.8,151.8,3.9,0.2,3.5,15.6
73.0,74.5,89.9,0.7,3.4,0.3,34.8
79.2,79.6,97.0,4.0,1.7,5.2,12.0
85.5,89.5,160.5,4.2,12.8,4.5,48.8
70.0,70.1,87.6,1.6,3.6,3.2,41.6
89.9,93.6,102.9,1.5,20.0,0.4,33.2
80.5,83.3,87.0,1.6,8.7,0.3,44.4
84.0,84.9,111.3,1.8,0.5,5.2,25.2
92.0,91.8,127.8,4.5,13.4,2.6,41.6
75.0,78.8,121.6,2.0,13.4,1.6,30.4
83.2,84.2,66.8,4.0,14.8,2.6,10.4
94.7,100.1,74.5,2.0,20.0,1.1,19.6
87.4,90.2,98.8,3.4,21.8,0.4,32.0
84.3,89.3,74.5,1.7,17.7,5.2,31.6
64.3,64.6,135.1,4.5,7.2,4.3,30.4
99.6,102.1,95.5,2.5,19.3,0.8,33.2
87.9,94.3,150.9,0.8,10.3,3.9,40.4
76.7,81.4,107.4,4.0,16.3,3.8,28.0
70.8,76.6,65.5,3.9,17.6,4.9,41.2
81.8,84.9,131.8,1.8,7.9,4.0,28.0
82.2,85.6,98.8,2.8,16.5,4.3,25.6
80.3,83.0,112.5,3.2,8.7,4.3,40.0
75.8,81.6,137.1,0.9,16.7,1.9,26.4
94.5,93.3,119.7,1.6,0.3,0.4,16.4
76.3,77.1,127.6,5.3,7.5,0.7,22.8
72.2,72.8,112.5,3.0,5.0,1.2,42.0
76.4,77.3,109.5,3.9,10.0,0.0,19.2
82.1,85.4,107.6,2.2,16.4,0.6,44.0
77.6,75.8,81.9,3.0,1.1,0.3,15.2
87.7,91.6,92.2,1.1,15.4,2.1,4.8
79.7,80.9,107.9,1.1,4.7,0.6,14.4
92.9,92.7,73.7,1.3,0.2,0.9,23.2
83.2,81.8,95.1,3.3,2.0,1.0,24.0
73.6,78.5,111.9,2.5,19.2,0.5,30.8
96.8,98.9,87.0,2.2,6.3,3.5,8.0
80.9,79.1,109.1,4.0,5.9,1.4,6.8
74.6,72.9,94.9,3.1,3.1,4.0,17.2
73.5,77.0,82.5,1.6,14.0,0.5,20.4
76.2,76.1,66.6,3.8,9.6,4.4,14.0
65.9,65.6,80.4,3.0,5.4,1.7,24.0
88.6,86.3,83.6,4.1,7.8,2.0,3.6
83.9,83.6,64.7,0.9,0.5,0.4,10.4
80.3,82.7,92.7,2.2,19.2,1.6,24.0
76.0,82.4,95.5,1.6,20.0,5.1,11.2
75.8,77.3,146.0,3.9,18.4,0.4,32.0
73.5,70.1,123.1,5.4,16.7,0.1,40.4
79.8,80.5,53.8,1.8,8.2,1.2,31.6
90.9,89.3,86.0,4.3,2.4,0.1,22.0
91.0,93.4,62.9,2.6,12.9,0.4,30.8
75.1,80.7,71.0,2.1,20.4,0.7,9.6
79.3,79.0,93.7,3.3,3.3,2.1,22.4
87.3,84.7,73.6,3.5,0.4,1.4,14.8
78.7,80.5,78.2,3.1,18.0,0.5,34.8
67.2,68.8,104.8,1.7,5.7,5.5,21.6
79.3,85.0,77.0,2.4,19.3,2.6,33.6
80.4,79.7,102.7,3.8,8.9,1.0,33.2
72.4,77.9,86.0,2.6,15.9,5.5,23.2
68.3,76.2,154.3,2.9,21.3,1.7,23.2
83.8,85.2,89.3,2.0,13.0,2.8,11.6
74.8,79.6,77.7,1.8,16.8,4.5,22.0
89.1,89.7,75.5,0.9,0.0,0.6,31.2
89.4,91.7,82.9,0.9,10.2,1.0,20.8
83.5,87.3,90.5,2.6,21.7,1.0,26.4
87.6,90.3,61.3,4.5,18.8,2.1,27.2
71.1,76.2,110.8,2.4,14.0,0.4,42.0
85.6,86.6,84.5,1.4,1.8,4.7,26.0
74.8,78.4,120.1,2.0,17.1,3.9,19.6
73.6,77.8,118.8,1.4,21.4,1.1,19.2
76.9,74.9,61.5,2.7,0.6,1.7,16.0
96.3,98.3,64.2,4.5,22.0,0.4,15.6
69.2,68.3,114.4,3.3,1.5,4.1,22.0
72.9,79.1,66.3,2.5,19.7,4.2,26.0
77.7,77.3,75.1,3.2,4.7,2.5,20.0
76.4,80.3,77.5,1.7,19.1,0.8,30.4
59.7,64.5,129.4,2.5,10.8,3.8,25.2
72.3,78.0,116.8,4.4,14.3,4.4,44.4
87.1,89.1,115.3,1.3,6.3,3.6,47.6
89.7,91.3,85.9,3.3,14.2,0.4,34.4
63.1,68.3,51.3,1.5,19.1,4.4,39.6
73.0,74.3,100.1,3.0,6.9,4.9,22.0
82.8,86.0,112.1,2.6,14.4,1.8,15.6
76.4,76.0,97.7,2.8,1.1,0.5,24.4
82.3,86.1,53.6,2.9,15.6,0.7,19.2
64.8,69.6,92.5,1.2,13.9,0.7,45.6
83.5,91.9,149.6,1.7,15.5,0.5,30.0
93.2,91.9,117.0,3.8,0.0,0.5,26.8
76.9,78.6,72.4,3.7,11.5,4.0,41.2
83.1,89.0,98.6,2.4,21.9,0.4,25.6
81.9,84.9,70.0,1.6,17.0,1.4,22.0
95.2,94.9,82.7,2.9,9.1,3.9,29.6
80.3,83.6,57.2,2.1,11.7,0.2,38.8
73.6,79.5,85.7,1.2,16.3,3.2,23.2
87.1,85.1,119.3,4.8,0.3,2.4,12.8
92.5,92.7,98.1,3.0,9.2,0.4,32.0
81.8,81.2,123.5,3.4,2.8,0.7,28.0
80.9,83.1,73.6,1.2,7.1,0.7,46.8
75.1,79.3,91.8,3.1,13.4,3.6,46.4
80.8,82.5,120.8,2.4,18.7,5.1,26.8
79.0,78.0,89.0,2.6,0.2,0.8,35.2
77.9,81.9,91.1,1.7,11.0,1.3,38.4
92.3,94.5,100.1,3.4,13.4,1.2,37.6
75.7,76.6,62.1,1.5,8.0,1.4,20.0
83.5,85.6,89.7,3.8,15.5,3.9,28.0
79.2,82.3,105.9,1.6,18.3,0.2,10.4
85.4,86.7,99.7,3.0,8.7,0.5,12.8
94.6,100.5,145.9,1.4,10.4,1.0,39.2
80.7,81.7,70.4,1.4,0.8,3.0,30.4
68.7,70.3,112.5,1.7,1.1,3.5,26.8
81.9,84.5,81.7,2.2,10.1,0.6,32.4
82.2,84.3,108.9,1.7,10.4,0.4,42.8
84.1,85.5,124.6,2.8,2.3,3.9,18.0
79.4,81.7,87.7,2.6,10.7,1.9,8.8
87.8,88.3,98.7,4.8,11.8,4.7,12.0
70.8,71.8,73.0,1.5,3.0,5.1,20.4
84.7,85.5,60.4,2.6,10.2,0.4,22.4
85.4,88.1,118.0,4.5,18.4,5.8,30.8
71.7,74.3,99.1,1.0,10.7,1.0,21.2
86.4,86.2,71.5,2.6,1.1,5.0,27.6
73.6,81.8,154.5,2.9,15.1,1.9,31.2
87.1,87.2,72.4,2.2,1.0,3.4,29.6
92.6,90.0,130.0,5.4,0.2,1.4,40.0
73.0,77.2,69.5,2.5,18.5,0.9,47.2
71.4,73.5,68.8,4.0,16.9,0.2,15.6
71.7,73.6,98.9,0.5,0.0,4.7,36.8
76.2,78.1,120.4,1.8,8.3,1.6,16.8
79.6,79.8,69.3,1.1,1.0,1.0,30.0
65.7,64.3,87.7,2.8,0.1,0.8,30.8
78.1,78.5,100.4,1.6,1.2,1.8,14.8
82.5,82.5,85.7,1.7,1.0,1.1,32.4
73.6,77.7,71.7,0.2,9.7,4.3,10.4
80.1,83.2,113.8,1.9,15.1,1.2,42.0
94.5,95.9,84.0,1.1,3.0,5.7,9.6
83.5,85.9,112.6,3.6,11.1,0.8,18.4
72.4,76.7,122.9,0.9,13.0,0.4,27.6
80.5,83.3,99.8,1.7,11.9,1.0,46.4
85.6,88.6,116.5,2.7,8.2,0.2,27.6
72.3,75.8,74.0,2.6,18.1,0.6,6.8
90.7,91.4,67.5,1.0,0.4,3.8,30.8
88.9,90.8,58.9,1.5,6.4,4.8,18.4
91.9,93.8,108.3,2.2,7.1,5.9,46.4
81.8,82.6,70.1,1.8,10.7,1.3,25.6
75.8,80.1,85.4,3.5,18.2,1.0,32.0
64.0,66.1,130.2,1.4,6.6,3.5,30.4
78.9,80.2,56.9,1.5,2.9,3.5,12.0
69.9,74.6,137.2,2.2,19.1,0.9,32.0
84.0,84.4,76.1,2.3,4.3,0.5,25.2
86.2,85.9,94.0,1.8,4.6,0.3,16.0
82.9,85.3,127.7,1.5,4.6,4.8,27.2
97.3,95.9,86.3,4.3,7.5,2.7,18.8
76.9,78.1,125.0,3.5,16.1,2.4,22.4
71.2,74.3,57.3,3.0,17.6,3.2,27.6
83.7,86.0,93.1,0.3,0.1,5.5,20.0
71.4,75.9,121.2,3.5,19.7,4.0,34.4
78.3,81.0,134.9,1.6,10.3,0.8,18.4
82.5,85.8,113.9,1.9,10.9,4.0,31.6
82.2,83.4,115.2,1.4,1.5,3.8,40.8
87.0,87.6,53.9,2.4,3.9,2.2,24.8
77.1,81.4,98.2,3.1,21.0,2.0,24.0
71.4,75.5,135.0,1.8,12.8,3.8,25.6
75.5,80.0,61.0,1.6,20.5,0.7,28.4
74.3,76.4,75.3,2.3,14.7,0.7,14.4
85.5,92.4,115.8,1.7,20.9,1.4,24.4
77.3,78.0,129.9,3.6,5.9,1.1,8.0
88.1,86.4,76.6,4.5,1.1,0.3,22.4
80.5,84.6,111.5,1.9,16.9,4.4,19.2
78.8,84.9,78.4,2.3,21.5,1.0,19.6
77.1,79.9,96.8,2.5,12.6,1.5,31.2
80.6,84.1,153.9,4.2,20.5,0.2,46.0
69.8,74.8,96.6,1.0,13.4,2.5,7.2
75.4,76.1,111.7,2.5,13.9,5.3,34.0
76.2,74.3,90.9,3.7,0.1,0.4,28.0
74.9,73.4,73.1,4.4,11.6,0.4,15.2
74.8,81.3,95.6,2.1,17.3,1.2,36.8
69.5,73.6,72.0,2.9,19.1,1.6,39.2
95.2,93.9,88.7,4.7,5.6,2.7,24.0
91.9,98.1,78.7,2.8,21.9,2.1,22.4
73.2,81.1,159.0,3.2,18.8,0.4,14.0
92.3,92.5,68.1,1.5,0.7,1.2,51.6
82.1,86.0,88.3,1.4,16.4,2.7,34.0
71.1,70.2,77.4,2.2,0.2,0.0,18.4
75.2,74.7,55.4,1.8,0.1,5.0,17.6
80.2,80.9,124.5,2.5,3.4,1.2,36.0
72.8,71.6,51.1,2.8,1.1,0.5,36.8
78.9,77.0,50.0,3.5,0.3,0.5,13.2
77.3,77.2,106.9,4.7,8.6,3.1,26.0
77.8,86.7,102.9,4.1,19.5,4.7,51.6
75.6,82.1,88.3,1.6,20.1,0.5,31.2
81.1,83.5,96.3,2.3,11.4,0.4,32.0
80.7,79.6,65.7,1.7,0.2,0.9,24.0
86.6,86.3,120.9,4.8,12.7,0.1,37.6
100.9,102.1,104.6,1.2,0.3,4.1,36.0
81.8,89.7,161.3,2.7,19.1,0.8,22.4
79.9,92.9,159.0,0.2,20.8,5.2,30.0
78.6,84.7,102.9,0.6,19.7,0.7,27.6
82.9,82.6,67.3,2.9,3.3,3.8,19.2
87.5,89.1,53.5,2.4,8.5,0.6,30.0
80.7,82.5,78.6,1.5,10.5,0.2,33.6
84.9,90.6,141.0,1.0,9.2,5.7,30.0
75.3,79.4,116.3,5.4,17.2,2.2,32.8
65.9,69.2,81.5,2.9,20.9,0.8,18.8
73.3,75.6,68.4,2.9,8.5,5.0,9.6
79.7,80.7,102.4,4.0,7.5,1.4,17.2
86.4,85.8,79.3,3.3,0.1,4.1,14.0
69.2,71.0,109.1,1.4,0.2,4.8,36.8
71.1,72.1,136.8,3.6,4.2,0.5,44.0
81.8,82.0,64.7,1.7,5.5,0.5,7.6
