lifespan,genetic,length,mass,exercise,smoking,alcohol,sugar,bmi
76.9,74.9,190.0,61.5,2.7,0.6,1.7,16.0,17.03601108033241
96.3,98.3,182.0,64.2,4.5,22.0,0.4,15.6,19.381717183914986
69.2,68.3,179.0,114.4,3.3,1.5,4.1,22.0,35.704253924659035
72.9,79.1,164.0,66.3,2.5,19.7,4.2,26.0,24.65050565139798
77.7,77.3,180.0,75.1,3.2,4.7,2.5,20.0,23.17901234567901
76.4,80.3,196.0,77.5,1.7,19.1,0.8,30.4,20.173885880882967
59.7,64.5,188.0,129.4,2.5,10.8,3.8,25.2,36.611588954277956
72.3,78.0,197.0,116.8,4.4,14.3,4.4,44.4,30.09611172666134
87.1,89.1,193.0,115.3,1.3,6.3,3.6,47.6,30.953851110096917
89.7,91.3,197.0,85.9,3.3,14.2,0.4,34.4,22.134041072947
63.1,68.3,172.0,51.3,1.5,19.1,4.4,39.6,17.340454299621417
73.0,74.3,200.0,100.1,3.0,6.9,4.9,22.0,25.025
82.8,86.0,176.0,112.1,2.6,14.4,1.8,15.6,36.18930785123967
76.4,76.0,184.0,97.7,2.8,1.1,0.5,24.4,28.857514177693762
82.3,86.1,179.0,53.6,2.9,15.6,0.7,19.2,16.728566524140945
64.8,69.6,206.0,92.5,1.2,13.9,0.7,45.6,21.79753039871807
83.5,91.9,166.0,149.6,1.7,15.5,0.5,30.0,54.289446944404126
93.2,91.9,197.0,117.0,3.8,0.0,0.5,26.8,30.14764616454946
76.9,78.6,208.0,72.4,3.7,11.5,4.0,41.2,16.734467455621303
83.1,89.0,187.0,98.6,2.4,21.9,0.4,25.6,28.196402527953325
81.9,84.9,176.0,70.0,1.6,17.0,1.4,22.0,22.59814049586777
95.2,94.9,182.0,82.7,2.9,9.1,3.9,29.6,24.966791450307934
80.3,83.6,190.0,57.2,2.1,11.7,0.2,38.8,15.84487534626039
73.6,79.5,193.0,85.7,1.2,16.3,3.2,23.2,23.00732905581358
87.1,85.1,180.0,119.3,4.8,0.3,2.4,12.8,36.82098765432099
92.5,92.7,172.0,98.1,3.0,9.2,0.4,32.0,33.159816116819904
81.8,81.2,177.0,123.5,3.4,2.8,0.7,28.0,39.42034536691244
80.9,83.1,177.0,73.6,1.2,7.1,0.7,46.8,23.49261068020045
75.1,79.3,163.0,91.8,3.1,13.4,3.6,46.4,34.551545033685876
80.8,82.5,188.0,120.8,2.4,18.7,5.1,26.8,34.17836124943413
79.0,78.0,185.0,89.0,2.6,0.2,0.8,35.2,26.004382761139514
77.9,81.9,170.0,91.1,1.7,11.0,1.3,38.4,31.52249134948097
92.3,94.5,178.0,100.1,3.4,13.4,1.2,37.6,31.593233177629084
75.7,76.6,199.0,62.1,1.5,8.0,1.4,20.0,15.681422186308426
83.5,85.6,207.0,89.7,3.8,15.5,3.9,28.0,20.93397745571659
79.2,82.3,188.0,105.9,1.6,18.3,0.2,10.4,29.96265278406519
85.4,86.7,175.0,99.7,3.0,8.7,0.5,12.8,32.55510204081633
94.6,100.5,173.0,145.9,1.4,10.4,1.0,39.2,48.748705269136956
80.7,81.7,164.0,70.4,1.4,0.8,3.0,30.4,26.174895895300423
68.7,70.3,178.0,112.5,1.7,1.1,3.5,26.8,35.50688044438834
81.9,84.5,177.0,81.7,2.2,10.1,0.6,32.4,26.07807462734208
82.2,84.3,203.0,108.9,1.7,10.4,0.4,42.8,26.4262661069184
84.1,85.5,177.0,124.6,2.8,2.3,3.9,18.0,39.77145775479587
79.4,81.7,188.0,87.7,2.6,10.7,1.9,8.8,24.81326392032594
87.8,88.3,187.0,98.7,4.8,11.8,4.7,12.0,28.22499928508107
70.8,71.8,182.0,73.0,1.5,3.0,5.1,20.4,22.03840115928028
84.7,85.5,161.0,60.4,2.6,10.2,0.4,22.4,23.301570155472394
85.4,88.1,185.0,118.0,4.5,18.4,5.8,30.8,34.47772096420745
71.7,74.3,194.0,99.1,1.0,10.7,1.0,21.2,26.331172281857796
86.4,86.2,177.0,71.5,2.6,1.1,5.0,27.6,22.822305212422993
73.6,81.8,170.0,154.5,2.9,15.1,1.9,31.2,53.460207612456756
87.1,87.2,187.0,72.4,2.2,1.0,3.4,29.6,20.704052160485
92.6,90.0,186.0,130.0,5.4,0.2,1.4,40.0,37.57659845068794
73.0,77.2,208.0,69.5,2.5,18.5,0.9,47.2,16.06416420118343
71.4,73.5,183.0,68.8,4.0,16.9,0.2,15.6,20.544059243333628
71.7,73.6,189.0,98.9,0.5,0.0,4.7,36.8,27.686794882562083
76.2,78.1,187.0,120.4,1.8,8.3,1.6,16.8,34.43049558180102
79.6,79.8,201.0,69.3,1.1,1.0,1.0,30.0,17.15304076631767
65.7,64.3,178.0,87.7,2.8,0.1,0.8,30.8,27.67958591086984
78.1,78.5,158.0,100.4,1.6,1.2,1.8,14.8,40.217913795866046
82.5,82.5,181.0,85.7,1.7,1.0,1.1,32.4,26.15915265101798
73.6,77.7,191.0,71.7,0.2,9.7,4.3,10.4,19.654066500370057
80.1,83.2,189.0,113.8,1.9,15.1,1.2,42.0,31.85801069398953
94.5,95.9,180.0,84.0,1.1,3.0,5.7,9.6,25.925925925925924
83.5,85.9,195.0,112.6,3.6,11.1,0.8,18.4,29.612097304404998
72.4,76.7,171.0,122.9,0.9,13.0,0.4,27.6,42.03002633288876
80.5,83.3,195.0,99.8,1.7,11.9,1.0,46.4,26.245890861275477
85.6,88.6,166.0,116.5,2.7,8.2,0.2,27.6,42.27754391058209
72.3,75.8,185.0,74.0,2.6,18.1,0.6,6.8,21.62162162162162
90.7,91.4,203.0,67.5,1.0,0.4,3.8,30.8,16.379917008420495
88.9,90.8,164.0,58.9,1.5,6.4,4.8,18.4,21.899167162403334
91.9,93.8,184.0,108.3,2.2,7.1,5.9,46.4,31.988421550094515
81.8,82.6,180.0,70.1,1.8,10.7,1.3,25.6,21.6358024691358
75.8,80.1,197.0,85.4,3.5,18.2,1.0,32.0,22.0052049782267
64.0,66.1,191.0,130.2,1.4,6.6,3.5,30.4,35.68981113456319
78.9,80.2,170.0,56.9,1.5,2.9,3.5,12.0,19.688581314878896
69.9,74.6,181.0,137.2,2.2,19.1,0.9,32.0,41.87906352064955
84.0,84.4,197.0,76.1,2.3,4.3,0.5,25.2,19.608853616429176
86.2,85.9,196.0,94.0,1.8,4.6,0.3,16.0,24.46897126197418
82.9,85.3,193.0,127.7,1.5,4.6,4.8,27.2,34.28279953824264
97.3,95.9,170.0,86.3,4.3,7.5,2.7,18.8,29.861591695501733
76.9,78.1,168.0,125.0,3.5,16.1,2.4,22.4,44.28854875283447
71.2,74.3,206.0,57.3,3.0,17.6,3.2,27.6,13.502686398341032
83.7,86.0,186.0,93.1,0.3,0.1,5.5,20.0,26.91062550583882
71.4,75.9,179.0,121.2,3.5,19.7,4.0,34.4,37.82653475234856
78.3,81.0,208.0,134.9,1.6,10.3,0.8,18.4,31.180658284023668
82.5,85.8,181.0,113.9,1.9,10.9,4.0,31.6,34.76694850584536
82.2,83.4,173.0,115.2,1.4,1.5,3.8,40.8,38.49109559290321
87.0,87.6,175.0,53.9,2.4,3.9,2.2,24.8,17.599999999999998
77.1,81.4,178.0,98.2,3.1,21.0,2.0,24.0,30.99356141901275
71.4,75.5,195.0,135.0,1.8,12.8,3.8,25.6,35.50295857988166
75.5,80.0,188.0,61.0,1.6,20.5,0.7,28.4,17.25894069714803
74.3,76.4,198.0,75.3,2.3,14.7,0.7,14.4,19.2072237526783
85.5,92.4,167.0,115.8,1.7,20.9,1.4,24.4,41.52174692531106
77.3,78.0,197.0,129.9,3.6,5.9,1.1,8.0,33.47161740833312
88.1,86.4,181.0,76.6,4.5,1.1,0.3,22.4,23.381459662403465
80.5,84.6,183.0,111.5,1.9,16.9,4.4,19.2,33.29451461673982
78.8,84.9,188.0,78.4,2.3,21.5,1.0,19.6,22.181982797645997
77.1,79.9,176.0,96.8,2.5,12.6,1.5,31.2,31.25
80.6,84.1,176.0,153.9,4.2,20.5,0.2,46.0,49.683626033057855
69.8,74.8,172.0,96.6,1.0,13.4,2.5,7.2,32.652785289345594
75.4,76.1,186.0,111.7,2.5,13.9,5.3,34.0,32.28696959186033
76.2,74.3,186.0,90.9,3.7,0.1,0.4,28.0,26.27471383975026
74.9,73.4,196.0,73.1,4.4,11.6,0.4,15.2,19.028529779258644
74.8,81.3,177.0,95.6,2.1,17.3,1.2,36.8,30.514858437869062
69.5,73.6,183.0,72.0,2.9,19.1,1.6,39.2,21.49959688255845
95.2,93.9,160.0,88.7,4.7,5.6,2.7,24.0,34.64843749999999
91.9,98.1,206.0,78.7,2.8,21.9,2.1,22.4,18.545574512206617
73.2,81.1,182.0,159.0,3.2,18.8,0.4,14.0,48.00144910035019
92.3,92.5,164.0,68.1,1.5,0.7,1.2,51.6,25.319750148721003
82.1,86.0,203.0,88.3,1.4,16.4,2.7,34.0,21.427358101385625
71.1,70.2,177.0,77.4,2.2,0.2,0.0,18.4,24.705544383797758
75.2,74.7,183.0,55.4,1.8,0.1,5.0,17.6,16.542745379079694
80.2,80.9,205.0,124.5,2.5,3.4,1.2,36.0,29.62522308149911
72.8,71.6,173.0,51.1,2.8,1.1,0.5,36.8,17.07374118747703
78.9,77.0,173.0,50.0,3.5,0.3,0.5,13.2,16.70620468441979
77.3,77.2,178.0,106.9,4.7,8.6,3.1,26.0,33.73942684004545
77.8,86.7,185.0,102.9,4.1,19.5,4.7,51.6,30.065741417092767
75.6,82.1,173.0,88.3,1.6,20.1,0.5,31.2,29.503157472685352
81.1,83.5,186.0,96.3,2.3,11.4,0.4,32.0,27.83558792924037
80.7,79.6,197.0,65.7,1.7,0.2,0.9,24.0,16.929062846247007
86.6,86.3,181.0,120.9,4.8,12.7,0.1,37.6,36.90363542016422
100.9,102.1,184.0,104.6,1.2,0.3,4.1,36.0,30.89555765595463
81.8,89.7,174.0,161.3,2.7,19.1,0.8,22.4,53.27652265821113
79.9,92.9,167.0,159.0,0.2,20.8,5.2,30.0,57.01172505288824
78.6,84.7,211.0,102.9,0.6,19.7,0.7,27.6,23.112688394240923
82.9,82.6,201.0,67.3,2.9,3.3,3.8,19.2,16.65800351476449
87.5,89.1,174.0,53.5,2.4,8.5,0.6,30.0,17.67076231998943
80.7,82.5,190.0,78.6,1.5,10.5,0.2,33.6,21.77285318559557
84.9,90.6,189.0,141.0,1.0,9.2,5.7,30.0,39.47257915511884
75.3,79.4,180.0,116.3,5.4,17.2,2.2,32.8,35.895061728395056
65.9,69.2,191.0,81.5,2.9,20.9,0.8,18.8,22.340396370713524
73.3,75.6,172.0,68.4,2.9,8.5,5.0,9.6,23.12060573282856
79.7,80.7,196.0,102.4,4.0,7.5,1.4,17.2,26.65556018325698
86.4,85.8,171.0,79.3,3.3,0.1,4.1,14.0,27.119455558975414
69.2,71.0,166.0,109.1,1.4,0.2,4.8,36.8,39.59210335317172
71.1,72.1,188.0,136.8,3.6,4.2,0.5,44.0,38.70529651425985
81.8,82.0,194.0,64.7,1.7,5.5,0.5,7.6,17.19098735253481
76.9,76.1,183.0,67.2,2.0,1.1,1.8,25.6,20.06629042372122
73.5,79.9,205.0,103.7,1.6,18.2,0.3,13.2,24.67578822129685
76.4,75.2,174.0,61.7,2.4,1.1,1.2,18.8,20.379178226978464
92.0,95.1,170.0,92.7,1.9,13.8,0.9,12.4,32.076124567474054
75.6,76.3,213.0,127.6,4.0,9.8,0.7,14.4,28.124931120368537
74.1,73.4,179.0,82.7,2.7,1.5,0.8,9.6,25.810680066165226
94.3,96.6,196.0,98.2,4.3,13.9,1.8,28.4,25.562265722615578
79.4,81.9,170.0,97.9,1.8,11.3,1.1,32.4,33.87543252595156
88.4,90.9,185.0,86.7,0.5,6.9,3.2,39.2,25.33235938641344
79.4,84.4,160.0,70.2,1.0,21.0,2.1,26.8,27.421874999999996
77.2,78.6,182.0,83.2,2.2,7.9,1.7,32.4,25.117739403453687
82.3,80.2,173.0,95.2,4.9,5.8,0.5,15.6,31.808613719135288
75.3,78.0,207.0,59.7,3.0,17.3,0.5,30.4,13.932647202968566
100.2,100.4,189.0,76.0,3.7,6.3,0.5,26.8,21.27600011197895
82.2,86.0,199.0,132.3,1.5,18.5,1.1,27.2,33.40824726648317
82.0,79.9,175.0,92.7,4.4,4.5,1.8,19.6,30.26938775510204
79.9,82.0,175.0,99.8,1.1,0.6,5.3,25.6,32.587755102040816
67.0,72.2,170.0,108.6,1.2,13.6,0.6,20.4,37.57785467128028
76.4,79.0,174.0,95.3,1.9,7.6,2.4,25.6,31.477077553177434
100.4,102.1,202.0,133.0,0.5,0.3,4.0,13.6,32.59484364278012
96.9,98.1,174.0,84.4,1.4,3.1,1.1,19.2,27.876866164618843
77.1,81.4,194.0,68.3,1.1,15.8,1.9,38.8,18.14751833351047
68.0,68.7,172.0,73.4,3.9,6.3,3.2,21.2,24.810708491076262
98.1,100.9,179.0,105.2,5.1,16.7,4.0,27.6,32.83293280484379
77.0,78.1,181.0,94.7,1.6,5.2,1.4,26.8,28.906321540856506
81.7,81.6,183.0,59.4,1.6,1.1,2.9,31.6,17.73716742811072
83.7,83.2,202.0,99.5,2.5,4.0,0.5,24.4,24.384864228997156
71.9,74.9,205.0,99.0,2.4,13.4,0.7,25.2,23.557406305770378
79.1,81.9,193.0,95.6,1.4,9.0,3.5,16.4,25.665118526671858
99.3,98.3,193.0,95.2,1.5,0.1,1.7,25.2,25.557733093505867
75.3,80.1,176.0,55.0,0.5,12.5,5.1,41.2,17.75568181818182
79.2,81.4,186.0,67.6,3.8,10.9,0.4,18.4,19.539831194357724
78.6,79.2,187.0,63.1,0.7,3.3,2.0,9.2,18.04455374760502
90.5,91.1,178.0,61.5,2.1,2.5,5.8,44.4,19.410427976265623
89.9,93.8,173.0,151.7,1.5,6.2,1.4,19.2,50.686625012529646
72.7,74.7,196.0,111.1,3.5,17.3,0.3,28.0,28.920241566014163
76.6,80.5,182.0,60.9,2.7,19.0,2.0,21.6,18.385460693153
84.0,82.7,192.0,92.8,4.0,6.3,0.6,26.0,25.17361111111111
98.6,102.1,186.0,57.4,1.8,10.8,5.3,43.6,16.59151346976529
72.5,78.4,187.0,57.7,1.3,19.8,5.1,32.8,16.50032886270697
77.6,79.5,173.0,124.7,1.4,1.6,0.6,32.8,41.66527448294296
88.0,94.1,190.0,85.1,2.6,19.8,5.3,53.6,23.573407202216067
93.8,100.1,174.0,75.0,1.6,22.1,1.0,8.0,24.772096710265558
91.2,91.4,178.0,50.6,2.4,0.3,4.9,39.6,15.970205782098219
87.1,90.3,171.0,73.7,2.8,13.3,2.4,18.0,25.204336377004893
74.3,73.9,192.0,120.2,1.9,0.3,0.6,13.2,32.60633680555556
75.3,77.7,165.0,90.2,1.0,8.2,0.3,25.6,33.131313131313135
89.1,93.0,180.0,73.8,3.2,19.5,1.3,8.4,22.777777777777775
93.5,96.0,171.0,60.7,3.9,16.1,4.9,24.8,20.758523990287614
88.6,89.8,183.0,82.4,1.7,0.3,5.2,28.8,24.605094210039116
84.4,83.5,191.0,115.0,4.1,8.6,2.1,28.4,31.523258682601902
73.3,78.1,195.0,115.5,0.7,17.3,4.2,34.4,30.37475345167653
83.1,80.7,199.0,71.1,5.4,1.8,0.1,30.0,17.95409206838211
85.6,85.4,212.0,85.6,2.2,1.0,4.7,25.2,19.045923816304732
88.7,91.5,189.0,121.5,4.0,13.4,4.9,23.2,34.013605442176875
86.9,91.6,188.0,159.1,1.4,6.0,2.9,22.0,45.014712539610684
83.6,87.6,175.0,85.0,2.9,13.9,3.4,34.4,27.755102040816325
88.3,88.6,179.0,56.9,0.6,0.4,2.7,8.0,17.7584969258138
86.0,85.9,187.0,53.4,0.9,0.2,0.8,24.8,15.270668306214073
71.8,73.3,171.0,58.2,3.3,13.6,1.7,20.4,19.90356006976506
87.9,91.1,186.0,69.4,2.3,21.7,0.7,6.0,20.0601225575211
75.1,77.3,177.0,84.6,1.8,5.1,5.2,46.4,27.003734559034758
76.9,86.1,173.0,125.8,1.3,21.4,1.4,19.6,42.0328109860002
63.2,64.0,209.0,95.3,1.8,0.1,5.8,15.6,21.817266088230586
87.7,90.7,179.0,62.4,2.3,21.8,4.5,37.6,19.475047595268563
88.1,89.5,192.0,111.0,3.0,8.0,0.5,24.4,30.110677083333336
88.4,89.0,183.0,102.0,3.2,8.6,0.9,27.6,30.457762250291136
74.1,76.8,179.0,102.9,3.3,18.5,0.2,29.2,32.115102524889984
70.5,70.7,206.0,144.2,3.7,19.8,1.3,16.8,33.980582524271846
85.0,84.0,192.0,81.0,2.0,0.3,0.4,16.4,21.97265625
77.0,78.4,179.0,84.5,1.2,7.1,0.6,34.0,26.37246028525951
82.5,83.4,187.0,55.6,0.9,9.4,1.2,17.6,15.899796963024391
79.4,78.1,186.0,91.0,2.3,0.4,2.6,20.8,26.303618915481554
79.9,79.3,189.0,76.5,3.6,4.6,4.7,33.6,21.415973796926178
94.9,96.2,190.0,117.0,1.5,5.0,4.7,15.6,32.40997229916898
76.7,79.9,171.0,105.7,3.0,17.8,0.6,7.2,36.147874559693584
87.6,85.0,180.0,66.1,3.6,0.5,0.6,20.0,20.40123456790123
79.8,81.0,164.0,59.3,2.2,7.7,3.4,31.2,22.04788816180845
76.7,83.0,180.0,140.9,3.3,16.7,4.0,42.4,43.48765432098765
73.3,78.0,163.0,112.9,3.3,11.0,4.7,38.4,42.49313109262675
86.2,89.4,188.0,56.9,1.4,10.5,0.1,10.8,16.098913535536443
74.5,76.3,184.0,115.5,3.9,5.5,1.6,29.2,34.11507561436673
75.2,76.7,192.0,149.7,2.4,12.4,0.5,24.8,40.60872395833333
79.4,85.8,199.0,80.9,2.8,21.7,3.7,23.6,20.42877705108457
86.5,87.2,175.0,102.7,2.2,4.2,1.2,6.8,33.53469387755102
78.2,83.6,203.0,91.7,2.0,20.2,4.3,29.2,22.252420587735696
75.3,79.4,207.0,59.9,3.6,13.3,5.1,53.6,13.979322737986886
80.8,83.9,179.0,53.7,0.8,6.4,0.3,47.2,16.75977653631285
82.7,85.3,200.0,76.2,3.1,19.9,0.3,10.0,19.05
83.3,86.0,207.0,64.6,1.4,19.4,1.2,24.4,15.076197810917408
93.2,101.4,176.0,69.9,1.2,19.0,1.9,23.6,22.565857438016533
69.8,75.6,187.0,157.3,2.1,14.0,4.5,15.2,44.982698961937714
69.3,72.0,164.0,55.9,0.9,8.9,2.9,32.8,20.783759666864963
82.7,78.9,183.0,102.6,4.6,0.7,0.6,30.4,30.63692555764579
68.1,75.1,172.0,142.2,1.1,22.2,1.8,10.8,48.06652244456463
74.9,76.6,174.0,76.8,2.4,12.5,0.5,35.6,25.36662703131193
88.7,87.3,175.0,62.3,3.5,3.6,0.2,20.4,20.34285714285714
76.8,82.3,199.0,53.4,2.1,22.0,4.6,6.4,13.48450796697053
76.3,79.8,175.0,125.9,4.6,18.6,0.5,20.4,41.11020408163265
77.4,75.7,199.0,63.4,3.8,0.5,4.9,14.4,16.00969672483018
86.0,86.0,175.0,60.7,1.2,0.2,1.0,28.8,19.820408163265306
77.8,77.9,196.0,84.8,1.8,5.7,1.3,7.6,22.074135776759686
85.8,87.3,186.0,128.9,2.5,4.3,5.1,12.0,37.25864261764365
84.9,87.8,163.0,109.9,4.6,20.8,2.6,18.4,41.36399563400956
82.8,82.1,169.0,91.8,4.2,1.3,4.1,14.4,32.141731732082214
78.5,79.7,184.0,117.7,4.1,7.1,4.0,31.6,34.764886578449904
63.2,65.2,184.0,71.9,1.8,10.4,0.8,35.2,21.237003780718336
74.1,78.6,182.0,54.0,2.6,17.5,1.0,22.8,16.302378939741576
70.5,79.8,158.0,122.3,3.0,21.0,5.2,16.0,48.99054638679698
64.2,69.6,193.0,92.4,1.8,20.1,2.4,9.6,24.80603506134393
77.3,83.7,171.0,85.5,1.7,16.0,4.9,36.8,29.23976608187135
76.2,77.3,192.0,101.6,1.9,3.0,4.9,10.8,27.56076388888889
80.0,85.1,192.0,105.4,1.6,16.3,1.4,47.6,28.591579861111114
78.3,78.6,168.0,128.6,3.3,0.6,1.3,32.4,45.56405895691611
93.2,94.7,170.0,64.2,0.5,5.5,0.4,14.4,22.21453287197232
76.2,81.5,187.0,97.0,0.6,16.8,0.8,14.4,27.738854413909458
88.8,90.5,195.0,95.5,2.0,10.7,1.2,34.0,25.115055884286654
68.0,69.8,195.0,60.9,1.9,13.9,0.9,34.4,16.01577909270217
87.6,92.6,175.0,128.8,2.1,17.8,4.1,16.0,42.057142857142864
86.5,87.5,191.0,67.7,3.4,17.2,0.5,6.0,18.557605328801294
74.6,77.7,182.0,54.7,2.8,17.2,1.0,28.0,16.513706074145635
82.0,83.5,191.0,96.1,3.8,20.4,1.2,14.4,26.342479646939502
78.1,79.6,173.0,113.5,2.8,4.8,0.3,12.4,37.92308463363293
87.7,91.1,201.0,78.3,1.4,16.0,1.3,32.0,19.38070839830698
83.0,85.5,167.0,124.8,2.3,6.9,0.6,26.0,44.748825701889636
75.0,76.8,176.0,89.8,1.4,9.7,0.6,7.6,28.990185950413224
77.3,81.1,184.0,122.6,0.6,7.6,0.5,18.4,36.21219281663516
72.8,75.5,202.0,82.4,3.4,13.8,0.9,37.2,20.194098617782572
66.8,67.4,175.0,62.0,3.2,7.0,1.9,24.8,20.244897959183675
76.0,76.5,159.0,82.3,1.1,0.4,0.9,40.0,32.554092005854194
65.9,69.4,174.0,71.1,0.9,13.1,0.7,20.8,23.483947681331745
85.8,90.1,161.0,146.3,2.5,1.1,3.9,44.4,56.440723737510126
63.0,68.1,155.0,77.3,1.6,19.1,1.4,24.8,32.17481789802289
73.8,75.8,180.0,108.6,2.9,11.8,2.2,27.2,33.51851851851851
80.9,83.3,177.0,84.7,4.0,16.3,0.5,51.2,27.035653867024163
78.7,79.2,183.0,80.9,2.3,6.4,1.2,20.0,24.157185941652482
74.3,75.7,161.0,94.4,1.5,3.8,1.8,26.8,36.418348057559506
76.4,77.3,195.0,105.6,0.9,4.4,4.8,31.2,27.77120315581854
76.5,74.4,188.0,76.0,4.5,4.8,4.0,26.4,21.50294250792214
73.2,78.7,193.0,113.3,1.4,15.6,5.0,14.8,30.416923944266962
80.1,82.5,214.0,116.4,1.3,8.5,5.6,26.8,25.41706699275046
73.6,74.7,165.0,107.7,1.2,0.3,0.7,30.8,39.55922865013775
79.4,84.2,154.0,116.6,3.1,16.3,1.3,15.6,49.16512059369202
75.0,78.8,192.0,84.3,1.8,16.7,4.4,35.2,22.867838541666668
81.1,82.9,187.0,122.4,1.2,3.8,1.2,13.2,35.002430724355854
90.2,96.1,202.0,121.2,0.8,18.8,0.7,15.6,29.702970297029704
86.8,88.8,160.0,108.2,1.2,0.2,1.8,23.6,42.26562499999999
73.2,77.8,179.0,110.4,2.5,15.3,2.7,33.6,34.45585343778284
86.1,92.8,192.0,110.6,1.7,22.0,1.3,23.2,30.00217013888889
80.4,83.5,178.0,55.9,1.1,10.5,0.8,31.6,17.642974371922737
92.2,91.1,179.0,125.7,3.6,0.2,3.9,16.4,39.23098530008427
79.8,80.6,170.0,86.9,1.6,2.9,1.8,34.0,30.06920415224914
88.0,92.5,162.0,94.0,2.8,14.7,3.5,28.0,35.81771071483005
89.3,89.1,162.0,60.9,3.4,2.2,4.6,41.6,23.205304069501594
90.4,88.5,182.0,95.2,4.0,0.9,3.3,26.8,28.740490278951818
66.4,68.8,191.0,91.6,3.4,21.7,1.2,13.6,25.108960828924644
71.4,75.1,167.0,151.3,2.6,3.8,4.1,13.6,54.25077987737101
93.9,96.3,175.0,68.2,1.4,9.9,0.8,32.0,22.26938775510204
85.0,84.9,182.0,90.8,3.5,3.2,1.2,37.2,27.41214829126917
82.5,89.3,160.0,161.7,2.5,1.9,0.8,39.6,63.164062499999986
78.2,80.1,158.0,95.4,1.7,0.6,5.8,30.0,38.215029642685465
78.4,82.7,184.0,116.6,3.5,21.2,4.6,17.2,34.43998109640832
69.9,70.4,165.0,104.4,2.4,1.8,0.3,33.6,38.347107438016536
79.4,80.4,170.0,65.8,3.0,10.7,0.2,29.2,22.768166089965398
87.0,86.4,183.0,74.2,1.8,0.4,0.7,16.8,22.156529009525514
75.6,81.1,180.0,133.8,1.7,20.4,1.7,31.2,41.2962962962963
70.4,70.1,193.0,57.1,3.3,8.0,0.7,43.6,15.32927058444522
72.1,73.2,192.0,118.8,2.8,14.2,0.3,33.6,32.2265625
95.0,99.3,173.0,109.9,2.4,19.5,0.3,48.0,36.7202378963547
79.8,85.6,174.0,122.5,1.1,15.2,0.7,19.2,40.46109129343374
77.8,83.3,187.0,102.8,1.7,15.5,4.3,16.4,29.397466327318476
89.5,90.7,173.0,71.9,3.2,3.8,5.1,37.6,24.023522336195665
74.2,77.4,205.0,64.8,1.3,8.5,5.5,24.0,15.419393218322428
78.1,79.4,156.0,115.3,5.1,0.7,5.9,40.8,47.37836949375411
81.7,81.5,172.0,113.0,4.2,4.4,2.6,22.0,38.196322336398055
71.1,78.8,177.0,100.3,1.3,20.8,4.1,35.6,32.015065913371
66.5,74.6,180.0,101.1,0.5,20.2,0.3,25.2,31.2037037037037
86.6,91.7,184.0,81.4,4.2,22.0,5.2,31.6,24.043005671077506
65.6,67.6,168.0,123.4,0.8,0.4,0.3,24.4,43.72165532879819
72.3,70.9,177.0,88.5,2.6,0.8,0.4,18.4,28.248587570621467
82.0,85.9,167.0,102.1,2.3,15.8,1.4,12.0,36.60941589874144
70.3,80.5,180.0,140.6,1.7,19.6,5.9,45.2,43.395061728395056
75.1,77.6,171.0,68.2,1.0,6.7,1.8,38.4,23.323415751855276
79.5,86.2,200.0,100.8,1.4,20.4,0.5,34.0,25.2
88.0,90.6,194.0,106.2,1.9,9.4,2.1,34.0,28.21766393878202
75.4,78.0,201.0,83.2,2.7,13.1,3.1,35.2,20.59354966461227
76.4,79.4,174.0,102.9,4.0,16.4,4.4,12.4,33.98731668648435
89.2,89.6,180.0,57.9,3.8,5.9,4.6,30.8,17.87037037037037
83.6,83.8,190.0,78.2,2.8,5.7,3.4,21.2,21.662049861495845
83.1,84.0,195.0,163.5,2.7,2.8,1.0,22.8,42.99802761341223
71.7,71.5,191.0,61.4,2.7,6.6,4.0,20.4,16.830678983580494
91.0,92.6,181.0,57.6,2.9,16.6,1.0,44.4,17.581880894966577
85.8,85.1,185.0,123.7,1.9,0.0,0.5,30.0,36.14317019722425
67.7,75.2,176.0,110.9,1.6,21.3,0.4,21.2,35.8019111570248
87.0,93.8,176.0,144.0,1.0,14.9,0.6,34.0,46.48760330578513
86.5,87.2,176.0,56.1,1.4,14.0,4.4,18.8,18.110795454545457
89.0,90.5,199.0,119.6,2.1,8.2,1.9,32.0,30.20125754400141
87.4,86.8,176.0,74.8,4.5,2.4,1.1,51.2,24.147727272727273
97.1,98.0,173.0,118.6,1.8,2.4,0.3,22.8,39.62711751144375
86.1,88.2,181.0,75.5,3.4,14.5,0.4,38.0,23.045694575867646
97.5,98.5,188.0,76.0,1.4,3.5,2.6,23.2,21.50294250792214
80.6,81.0,165.0,80.5,1.0,0.6,0.6,40.0,29.56841138659321
93.6,94.2,171.0,66.7,0.3,0.0,2.1,30.0,22.810437399541744
87.0,86.5,176.0,78.2,1.3,1.2,0.3,34.8,25.24535123966942
82.1,84.4,197.0,94.7,3.3,19.5,0.2,30.8,24.40155634002422
76.6,82.3,164.0,85.6,1.1,13.0,3.1,42.8,31.826293872694826
89.5,90.0,202.0,76.9,2.0,1.8,3.5,8.8,18.846191549848054
84.7,87.0,189.0,108.2,4.3,11.9,4.2,15.2,30.290305422580555
84.6,88.2,170.0,78.4,1.7,7.2,4.6,24.4,27.128027681660903
89.6,92.0,187.0,112.9,4.3,18.3,1.4,25.6,32.28573879722039
83.4,84.8,169.0,75.1,0.5,4.5,1.5,11.2,26.294597528097757
